Date : 2021-07-09 15:41:52
Directory : /Users/mac/Workspaces/Code/foa/frontend/src
Total : 337 files,  35543 codes, 2062 comments, 4738 blanks, all 42343 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JavaScript       |        256 |     22,789 |      1,717 |      2,464 |     26,970 |
| SCSS             |         60 |      8,670 |        245 |      1,844 |     10,759 |
| JavaScript React |         17 |      2,469 |         94 |        358 |      2,921 |
| CSS              |          2 |      1,357 |          6 |         72 |      1,435 |
| JSON             |          2 |        258 |          0 |          0 |        258 |
+------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                       | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                          |        337 |     35,543 |      2,062 |      4,738 |     42,343 |
| assets                                                                                                     |         15 |      9,029 |        151 |      1,677 |     10,857 |
| assets/css                                                                                                 |         15 |      9,029 |        151 |      1,677 |     10,857 |
| assets/css/sass                                                                                            |         13 |      7,672 |        145 |      1,605 |      9,422 |
| assets/css/sass/themes                                                                                     |         10 |        301 |          0 |         95 |        396 |
| assets/css/vendor                                                                                          |          2 |      1,357 |          6 |         72 |      1,435 |
| components                                                                                                 |         71 |      3,596 |         26 |        397 |      4,019 |
| components/applications                                                                                    |          7 |        300 |          0 |         28 |        328 |
| components/cards                                                                                           |          9 |        322 |          0 |         39 |        361 |
| components/carousel                                                                                        |          2 |        301 |          0 |         28 |        329 |
| components/charts                                                                                          |         12 |        759 |          0 |         67 |        826 |
| components/common                                                                                          |         23 |      1,030 |         21 |        134 |      1,185 |
| components/common/DatePicker                                                                               |          3 |         39 |          4 |          8 |         51 |
| components/common/UploadImage                                                                              |          3 |        156 |         13 |         20 |        189 |
| components/common/react-notifications                                                                      |          5 |        293 |          0 |         44 |        337 |
| components/forms                                                                                           |          1 |        226 |          2 |         21 |        249 |
| components/map                                                                                             |          3 |         75 |          3 |         15 |         93 |
| components/map/Map                                                                                         |          3 |         75 |          3 |         15 |         93 |
| components/pages                                                                                           |          3 |        118 |          0 |         16 |        134 |
| components/svg                                                                                             |          6 |         99 |          0 |         16 |        115 |
| components/wizard                                                                                          |          2 |         71 |          0 |          7 |         78 |
| constants                                                                                                  |          5 |        178 |        103 |         17 |        298 |
| containers                                                                                                 |         49 |      5,632 |        375 |        569 |      6,576 |
| containers/dashboards                                                                                      |         21 |      1,618 |        157 |        223 |      1,998 |
| containers/form-validations                                                                                |         10 |      1,654 |          3 |        152 |      1,809 |
| containers/navs                                                                                            |          6 |      1,091 |        178 |        101 |      1,370 |
| containers/pages                                                                                           |         12 |      1,269 |         37 |         93 |      1,399 |
| data                                                                                                       |          3 |        322 |         10 |         16 |        348 |
| helpers                                                                                                    |          4 |        174 |         45 |         33 |        252 |
| lang                                                                                                       |          6 |        254 |         28 |         28 |        310 |
